Action name, Action timestamp
Reading clients from file, 20.04.2020.01.19.08
Reading events from file, 20.04.2020.01.19.08
Reading locations from file, 20.04.2020.01.19.08
Reading event details from file, 20.04.2020.01.19.08
Reading tickets from file, 20.04.2020.01.19.08
Writing a client in file, 20.04.2020.01.19.26
Updating all events, 20.04.2020.01.19.29
Update all tickets, 20.04.2020.01.19.29
Update all tickets, 20.04.2020.01.19.29
